x,y,u,v,p
0.0,0.0,0.0,0.0,4.29931e-06
0.005,0.0,0.0,0.0,-0.0029091353
0.01,0.0,0.0,0.0,-0.009391435
0.015,0.0,0.0,0.0,-0.01568645
0.02,0.0,0.0,0.0,-0.01942135
0.025,0.0,0.0,0.0,-0.0193333
0.03,0.0,0.0,0.0,-0.01500425
0.035,0.0,0.0,0.0,-0.006626935
0.04,0.0,0.0,0.0,0.005178615
0.045,0.0,0.0,0.0,0.01949495
0.05,0.0,0.0,0.0,0.0351984
0.055,0.0,0.0,0.0,0.0510353
0.06,0.0,0.0,0.0,0.0657024
0.065,0.0,0.0,0.0,0.07794515
0.07,0.0,0.0,0.0,0.08668225
0.075,0.0,0.0,0.0,0.0911615
0.08,0.0,0.0,0.0,0.09114805
0.085,0.0,0.0,0.0,0.08713655
0.09,0.0,0.0,0.0,0.08056405
0.095,0.0,0.0,0.0,0.07397575
0.1,0.0,0.0,0.0,0.071069
0.0,0.005,0.0,0.0,0.0028937845
0.005,0.005,-0.000323631,0.0003341185,-6.269692e-05
0.01,0.005,-0.002085186,0.0014846118,-0.0062000793
0.015,0.005,-0.0055177924,0.0025255657,-0.011678738
0.02,0.005,-0.010118045,0.0031773674,-0.014744998
0.025,0.005,-0.01528594,0.0034029225,-0.014423568
0.03,0.005,-0.020436864,0.003238063,-0.010351835
0.035,0.005,-0.02504755,0.0027457834,-0.002686505
0.04,0.005,-0.02868815,0.0019989267,0.008034438
0.045,0.005,-0.03103675,0.0010735007,0.021001974
0.05,0.005,-0.031886324,4.824025e-05,0.0352154
0.055,0.005,-0.031151526,-0.0009935575,0.0495524
0.06,0.005,-0.0288763,-0.0019625092,0.062845126
0.065,0.005,-0.025241375,-0.0027635398,0.0739725
0.07,0.005,-0.02056817,-0.0032994938,0.08197452
0.075,0.005,-0.015313265,-0.0034793725,0.08619065
0.08,0.005,-0.010044818,-0.0032331317,0.0864232
0.085,0.005,-0.0053920676,-0.0025348205,0.083102226
0.09,0.005,-0.0019741987,-0.0014489054,0.0773652
0.095,0.005,-0.00026785434,-0.0002899237,0.071136825
0.1,0.005,0.0,0.0,0.0681944
