"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.035198,1,0,0.05,0,0.005
-0.0031886,4.824e-06,0,0.0352,1,0.0005,0.05,0.0005,0.005
-0.0063773,9.648e-06,0,0.035202,1,0.001,0.05,0.001,0.005
-0.0095659,1.4472e-05,0,0.035204,1,0.0015,0.05,0.0015,0.005
-0.012755,1.9296e-05,0,0.035205,1,0.002,0.05,0.002,0.005
-0.015943,2.412e-05,0,0.035207,1,0.0025,0.05,0.0025,0.005
-0.019132,2.8944e-05,0,0.035209,1,0.003,0.05,0.003,0.005
-0.02232,3.3768e-05,0,0.03521,1,0.0035,0.05,0.0035,0.005
-0.025509,3.8592e-05,0,0.035212,1,0.004,0.05,0.004,0.005
-0.028698,4.3416e-05,0,0.035214,1,0.0045,0.05,0.0045,0.005
-0.031886,4.824e-05,0,0.035215,1,0.005,0.05,0.005,0.005
-0.03452,5.5564e-05,0,0.035208,1,0.0055,0.05,0.0055,0.005
-0.037153,6.2887e-05,0,0.035201,1,0.006,0.05,0.006,0.005
-0.039786,7.0211e-05,0,0.035194,1,0.0065,0.05,0.0065,0.005
-0.042419,7.7535e-05,0,0.035188,1,0.007,0.05,0.007,0.005
-0.045053,8.4858e-05,0,0.035181,1,0.0075,0.05,0.0075,0.005
-0.047686,9.2182e-05,0,0.035174,1,0.008,0.05,0.008,0.005
-0.050319,9.9505e-05,0,0.035167,1,0.0085,0.05,0.0085,0.005
-0.052953,0.00010683,0,0.03516,1,0.009,0.05,0.009,0.005
-0.055586,0.00011415,0,0.035153,1,0.0095,0.05,0.0095,0.005
-0.058219,0.00012148,0,0.035146,1,0.01,0.05,0.01,0.005
-0.060525,0.00013256,0,0.035111,1,0.0105,0.05,0.0105,0.005
-0.062832,0.00014364,0,0.035077,1,0.011,0.05,0.011,0.005
-0.065138,0.00015472,0,0.035043,1,0.0115,0.05,0.0115,0.005
-0.067444,0.0001658,0,0.035008,1,0.012,0.05,0.012,0.005
-0.069751,0.00017688,0,0.034974,1,0.0125,0.05,0.0125,0.005
-0.072057,0.00018796,0,0.03494,1,0.013,0.05,0.013,0.005
-0.074363,0.00019904,0,0.034905,1,0.0135,0.05,0.0135,0.005
-0.07667,0.00021012,0,0.034871,1,0.014,0.05,0.014,0.005
-0.078976,0.0002212,0,0.034836,1,0.0145,0.05,0.0145,0.005
-0.081282,0.00023228,0,0.034802,1,0.015,0.05,0.015,0.005
-0.083402,0.0002498,0,0.034725,1,0.0155,0.05,0.0155,0.005
-0.085523,0.00026732,0,0.034648,1,0.016,0.05,0.016,0.005
-0.087643,0.00028484,0,0.034571,1,0.0165,0.05,0.0165,0.005
-0.089763,0.00030236,0,0.034494,1,0.017,0.05,0.017,0.005
-0.091883,0.00031988,0,0.034417,1,0.0175,0.05,0.0175,0.005
-0.094003,0.0003374,0,0.03434,1,0.018,0.05,0.018,0.005
-0.096124,0.00035492,0,0.034263,1,0.0185,0.05,0.0185,0.005
-0.098244,0.00037244,0,0.034186,1,0.019,0.05,0.019,0.005
-0.10036,0.00038996,0,0.034109,1,0.0195,0.05,0.0195,0.005
-0.10248,0.00040748,0,0.034032,1,0.02,0.05,0.02,0.005
-0.1045,0.00043696,0,0.033892,1,0.0205,0.05,0.0205,0.005
-0.10651,0.00046644,0,0.033752,1,0.021,0.05,0.021,0.005
-0.10853,0.00049592,0,0.033612,1,0.0215,0.05,0.0215,0.005
-0.11054,0.0005254,0,0.033472,1,0.022,0.05,0.022,0.005
-0.11255,0.00055488,0,0.033333,1,0.0225,0.05,0.0225,0.005
-0.11457,0.00058436,0,0.033193,1,0.023,0.05,0.023,0.005
-0.11658,0.00061384,0,0.033053,1,0.0235,0.05,0.0235,0.005
-0.1186,0.00064332,0,0.032913,1,0.024,0.05,0.024,0.005
-0.12061,0.0006728,0,0.032773,1,0.0245,0.05,0.0245,0.005
-0.12263,0.00070228,0,0.032633,1,0.025,0.05,0.025,0.005
-0.12457,0.0007514,0,0.032405,1,0.0255,0.05,0.0255,0.005
-0.12651,0.00080051,0,0.032176,1,0.026,0.05,0.026,0.005
-0.12845,0.00084963,0,0.031947,1,0.0265,0.05,0.0265,0.005
-0.13039,0.00089874,0,0.031719,1,0.027,0.05,0.027,0.005
-0.13233,0.00094785,0,0.03149,1,0.0275,0.05,0.0275,0.005
-0.13427,0.00099697,0,0.031261,1,0.028,0.05,0.028,0.005
-0.13621,0.0010461,0,0.031032,1,0.0285,0.05,0.0285,0.005
-0.13815,0.0010952,0,0.030804,1,0.029,0.05,0.029,0.005
-0.14009,0.0011443,0,0.030575,1,0.0295,0.05,0.0295,0.005
-0.14202,0.0011934,0,0.030346,1,0.03,0.05,0.03,0.005
-0.14387,0.0012712,0,0.029997,1,0.0305,0.05,0.0305,0.005
-0.14572,0.0013489,0,0.029649,1,0.031,0.05,0.031,0.005
-0.14757,0.0014266,0,0.0293,1,0.0315,0.05,0.0315,0.005
-0.14942,0.0015044,0,0.028951,1,0.032,0.05,0.032,0.005
-0.15127,0.0015821,0,0.028602,1,0.0325,0.05,0.0325,0.005
-0.15312,0.0016599,0,0.028253,1,0.033,0.05,0.033,0.005
-0.15496,0.0017376,0,0.027904,1,0.0335,0.05,0.0335,0.005
-0.15681,0.0018153,0,0.027555,1,0.034,0.05,0.034,0.005
-0.15866,0.0018931,0,0.027206,1,0.0345,0.05,0.0345,0.005
-0.16051,0.0019708,0,0.026857,1,0.035,0.05,0.035,0.005
-0.16219,0.0020862,0,0.026353,1,0.0355,0.05,0.0355,0.005
-0.16388,0.0022015,0,0.025849,1,0.036,0.05,0.036,0.005
-0.16556,0.0023169,0,0.025345,1,0.0365,0.05,0.0365,0.005
-0.16725,0.0024322,0,0.024841,1,0.037,0.05,0.037,0.005
-0.16893,0.0025476,0,0.024337,1,0.0375,0.05,0.0375,0.005
-0.17061,0.0026629,0,0.023833,1,0.038,0.05,0.038,0.005
-0.1723,0.0027783,0,0.023329,1,0.0385,0.05,0.0385,0.005
-0.17398,0.0028936,0,0.022825,1,0.039,0.05,0.039,0.005
-0.17567,0.003009,0,0.022321,1,0.0395,0.05,0.0395,0.005
-0.17735,0.0031243,0,0.021817,1,0.04,0.05,0.04,0.005
-0.17873,0.0032841,0,0.021124,1,0.0405,0.05,0.0405,0.005
-0.18012,0.0034438,0,0.020431,1,0.041,0.05,0.041,0.005
-0.1815,0.0036036,0,0.019738,1,0.0415,0.05,0.0415,0.005
-0.18288,0.0037634,0,0.019044,1,0.042,0.05,0.042,0.005
-0.18427,0.0039231,0,0.018351,1,0.0425,0.05,0.0425,0.005
-0.18565,0.0040829,0,0.017658,1,0.043,0.05,0.043,0.005
-0.18703,0.0042427,0,0.016965,1,0.0435,0.05,0.0435,0.005
-0.18841,0.0044024,0,0.016272,1,0.044,0.05,0.044,0.005
-0.1898,0.0045622,0,0.015579,1,0.0445,0.05,0.0445,0.005
-0.19118,0.004722,0,0.014885,1,0.045,0.05,0.045,0.005
-0.19205,0.0049276,0,0.013979,1,0.0455,0.05,0.0455,0.005
-0.19292,0.0051332,0,0.013072,1,0.046,0.05,0.046,0.005
-0.19379,0.0053387,0,0.012165,1,0.0465,0.05,0.0465,0.005
-0.19466,0.0055443,0,0.011258,1,0.047,0.05,0.047,0.005
-0.19552,0.0057499,0,0.010351,1,0.0475,0.05,0.0475,0.005
-0.19639,0.0059555,0,0.0094444,1,0.048,0.05,0.048,0.005
-0.19726,0.0061611,0,0.0085376,1,0.0485,0.05,0.0485,0.005
-0.19813,0.0063667,0,0.0076308,1,0.049,0.05,0.049,0.005
-0.199,0.0065723,0,0.0067239,1,0.0495,0.05,0.0495,0.005
-0.19987,0.0067779,0,0.0058171,1,0.05,0.05,0.05,0.005
-0.19992,0.0070211,0,0.0046951,1,0.0505,0.05,0.0505,0.005
-0.19997,0.0072643,0,0.003573,1,0.051,0.05,0.051,0.005
-0.20003,0.0075076,0,0.0024509,1,0.0515,0.05,0.0515,0.005
-0.20008,0.0077508,0,0.0013289,1,0.052,0.05,0.052,0.005
-0.20013,0.007994,0,0.00020681,1,0.0525,0.05,0.0525,0.005
-0.20018,0.0082373,0,-0.00091524,1,0.053,0.05,0.053,0.005
-0.20024,0.0084805,0,-0.0020373,1,0.0535,0.05,0.0535,0.005
-0.20029,0.0087237,0,-0.0031594,1,0.054,0.05,0.054,0.005
-0.20034,0.008967,0,-0.0042814,1,0.0545,0.05,0.0545,0.005
-0.20039,0.0092102,0,-0.0054035,1,0.055,0.05,0.055,0.005
-0.19923,0.0094688,0,-0.0067019,1,0.0555,0.05,0.0555,0.005
